,full_text,tweet_english
43,bicara sesuai fakta anies lantang sebut lampung punya alat pantau polusi udara gaco anies gempa daesang pagi batter up 100m views pilih baik,speak according to the fact anies loudly say Lampung has a monitoring tool for air pollution gaco anies earthquake daesang morning batter up 100m views choose well
44,sindir anies baswedan apbd paling besar kok mas anies gagal pimpin jakarta gaco anies gempa daesang pagi batter up 100m views pilih baik,sindir anies baswedan apbd besar kok mas anies failed pimpin jakarta gaco anies earthquake daesang morning batter up 100m views choose well
45,buzzerrp paslon no 2 habis akal amp narasi serang anies makanya pakai methode fitnah receh,buzzerrp paslon no. 2 is out of sense & narrative attack anies so use the method of slander for change
46,anies bangun jakarta lebih lanjut ramah lingkungandan pasti tumbuh kota beri manfaat seluruh warga,anies wake up jakarta further friendly environment and definitely grow the city to benefit all residents
47,janji sdh tdk tunai tdk nyapres lama masa jabat gub dki kalau sdh selesai selesai janji mission accomplished smp kpn pak anies nyapres kl tiap priode kalah terus amp nyapres terus etika koyol tau,promise sdh no cash not hispres long term of office gub dki if sdh finished the promise mission accomplished smp kpn pak anies nyapres kl every priode lose continue amp nyapres continue koyol etiquette tau
48,foodeatate gagal pesawat tempur rongsokanhutang kemenhan trilyunan bentuk bengis 270 juta lebih rakyat indonesia saran tim tkn banyak cermin serang pak anies akhlak kalian pada benar,foodeatate failed wreckage fighter aircraft debts trillions of forms of cruelty 270 million more Indonesians team advice tkn many mirrors attack pak anies your morals on the right
49,ga bang aman anies pernah tegor rijik suruh bayar denda kok waktu buat kerumun pas covid bukti,ga bang aman anies once told Rijik to pay a fine for the complexity of the covid proof pass
50,gw gak bahas dki debat jujur gw udah lunak sama anies siap terima mungkin jadi presiden gw ngomong gitu baca ttg berita kontrak politik anyway di twit awal gw dki negara,i don't discuss dki debate honestly I've been soft with anies ready to accept it maybe so the president I speak so read about political contract news anyway in the initial tweet I dki country
51,iya kok disurvey kok unggul,yes how come it's surveyed how come it's superior
52,buni yani kata potong video pidato ahok tim cybernya jadi ketimbang anies tak punya masa lebih bertanggungjawab yang gera kelompok brutal 212,buni yani said cut the video of the speech of ahok the cyber team so that instead of anies did not have more responsible time that the brutal group 212
53,la emang usung anies pkb nasdem oposisi,he eang usung anies pkb nasdem opposition
54,buzzer anies follower ribu klo tweet bayar,buzzer anies follower thousand klo tweet pay
55,bicara sesuai fakta anies lantang sebut lampung punya alat pantau polusi udara gaco anies gempa daesang pagi batter up 100m views pilih baik,speak according to the fact anies loudly say Lampung has a monitoring tool for air pollution gaco anies earthquake daesang morning batter up 100m views choose well
56,sindir anies baswedan apbd paling besar kok mas anies gagal pimpin jakarta gaco anies gempa daesang pagi batter up 100m views pilih baik,sindir anies baswedan apbd besar kok mas anies failed pimpin jakarta gaco anies earthquake daesang morning batter up 100m views choose well
57,anies bagus sebenernya kunci sih ka belakang jg ga ngapa2in kalau aniesnya busuk baru bahaya kalau presiden skrg ga berani komen kasar khawatir knp2,"anies is good, actually, the key is the back and it doesn't matter if the anies is rotten, then it's dangerous if the president doesn't dare to make rude comments worried about knp2"
58,gak layak jadi presiden pantesan gak pernah menang dulu dukung hanya 2 pilih sekarang anies paling layak semua,unfit to be president of Pantesan never win first support only 2 vote now anies most feasible all
59,dulu sih 2 kali milih sekarang sih udah makin yakin pilih anies,i used to choose twice now already more sure to choose anies
60,anies baswedan tuding capres banyak janji timnas amin janji ukur,"anies baswedan pointed the finger at the presidential candidate, many promises from the national team, amen promise to measure"
61,anies baswedan tuding capres banyak janji timnas amin janji ukur,"anies baswedan pointed the finger at the presidential candidate, many promises from the national team, amen promise to measure"
62,wkwkwk dukung anies kek gin,wkwkwk support gin cake anies
63,waktu debat perdana pak anies tunjuk politis intelek setel jas peci,"at the time of the first debate, Mr. Anies pointed out the political intellect set suit capi"
64,sampai kiky malah bagus kok justru puji anies,until kiky is actually good how to actually praise anies
65,lihat debat anies selalu memilikikemampuan rancang terap solusisolusi kreatif,see the anies debate always has the ability to design a creative solution
66,lama debat anies milik banyak solusi kena masalah timpang jadi indonesia,long debate anies belong to many solutions hit by lame problems so Indonesia
67,bicara sesuai fakta anies lantang sebut lampung punya alat pantau polusi udara gaco anies gempa daesang pagi batter up 100m views pilih baik,speak according to the fact anies loudly say Lampung has a monitoring tool for air pollution gaco anies earthquake daesang morning batter up 100m views choose well
68,sindir anies baswedan apbd paling besar kok mas anies gagal pimpin jakarta gaco anies gempa daesang pagi batter up 100m views pilih baik,sindir anies baswedan apbd besar kok mas anies failed pimpin jakarta gaco anies earthquake daesang morning batter up 100m views choose well
69,lama debat nya anies kenal programprogram solusidari masalah ada dalam penididikan transportasi lingkung,long debate anies know the program solusidari problem is in environmental transportation education
70,seinget ku 212 yang datang makruf amin sama jokowi anies ga datang acara 212 monas,seinget ku 212 who came makruf amin sama jokowi anies ga come event 212 monas
71,anies dominasi debat pertama retorika baik nilai anies punya leluasa serang gagas kandidat karena usung visi ubah,anies dominance of the first debate good rhetoric the value of anies has the freedom to attack the candidate because the stretching vision changes
72,sama sama2 mantan napi korupsi jadi timses resmi nasional anies ga sih,together with ex-corruption inmates to become official national teams or not
73,lama debat langsung anies tunjuk gambar diri orang ajar,long live debate anies show a picture of yourself teaching people
74,haiii bestie saat debat perdana caprescawapres kemaren malam sisa momen dramatis sang pangeran lupa kalau lagi ada area mimbar debat bukan tanding bola sang pangeran ngosngosan awokawokawok gaco anies semalem ordal,haiii bestie during the inaugural presidential debate yesterday night the remaining dramatic moments of the prince forgot that there was another area of the debate pulpit instead of the ball match of the prince ngosngosan awokawokok gaco anies semalem ordal
75,anies si dablek habis uang negara 80 triliun tak atas polusi jungkook is coming olivia gaco daesang bangtan debut karina wonbin batter up 100m views,anies the dablek run out of state money 80 trillion over pollution jungkook is coming olivia gaco daesang bangtan debut karina wonbin batter up 100m views
76,ayo bli ketut maen2 lah jakarta biar rasa maju jakarta sejak pimpin anies,come on bli ketut maen2 lah jakarta let's feel forward jakarta since pimpin anies
77,lama debat anies tampil tenang jelas segala tanya atas masalah bahas debat,"for a long time, the anies debate appeared calm, clear, all questions on the issue of debate"
78,kasih fakta nih,love the facts
79,iya saya jdi malu cari presiden lo bukan ketua rt,yes i am too embarrassed to look for the president you are not the head of rt
80,debat anies hendak manfaat tren populer sosial media menyebarluaskan kritik utama kritik merdeka dapat,debate anies want the benefits of popular trends social media disseminate the main criticisms independent critics can
81,pak anies janji warga jakarta u jalan amanah smpai tuntas pimpin ibu kota jakarta apakh salah bang kl skrg pak anies niat bawa ubah apakh juga salah tdk etika bangrekam jejak sdh bukti beliau tuntas amanah pimpin jkt,mr. Anies the promise of the citizens of Jakarta u Jalan Amanah smpai completely led the capital city of Jakarta apakh wrong bang kl now Pak Anies the intention to bring change apakh is also wrong unethical bangrekam track SDH his evidence is completely mandated to lead JKT
82,anies orang pimpin milik semangat luar biasa kenal solusi hadap bagai tantang,anies people lead belong to the extraordinary spirit know the solution to such a challenge
83,anies milik mampu eksekusi implementasi bijak laku sungguhsungguh capai hasil harap,anies belonging to able to execute the implementation of sage behavior really achieve the results hope
84,anies contoh nyata orang pimpin milik semangat tak goyah,anies a real example of a person who leads belongs to an unwavering spirit
85,analisa mu kalau jujur bkn benar benar pintar menganalisa tp si buah hati jadi sesuai hati nuranisebenarnya pa wowo sdh emosi tp tahan emosi nya ucap lah mas aniesmas anies,"your analysis if you are honest, you are really smart at analyzing but the baby is in accordance with your conscience, actually pa wowo sdh emotions but hold his emotions, say mas aniesmas anies"
86,nilai anies hasil jelas masalah muncul dalam debat konkret,the value of anies the obvious result of the problem arising in the concrete debate
87,rekomendasi buku anak anak usia 17 tahun buku full gambarwarna buat koleksi tag besok senin selasa rabu kamis jumatberkah sabtu malam minggu malmingan pagiii sarap makan siang gaco anies surabaya gempa olivia hari ibu dana ginting desember,"book recommendations for children aged 17 years old full-color picture books for tomorrow's tag collection on Tuesday, Tuesday, Friday, Friday, Friday, Friday, Friday, Friday, Friday, Sunday night, Sunday morning, Sunday morning, lunchtime, gaco anies, Surabaya, Olivia earthquake, Mother's Day, Dana Ginting, December"
88,anies sosok milik tekad luar biasa hadap rintang menghadangnya,anies figure belonging to extraordinary determination against obstacles blocking him
89,anies selalu tunjuk teguh tekad luar biasa cari solusi wujud visi misi maju daerah,anies always shows great determination to find solutions to realize the vision and mission of advancing the region
90,pakar komunikasi politik universitas brawijaya verdi firmantoro nilai anies capres runut sampai materi debat,political communication expert brawijaya verdi university firmantoro value anies capres track to debate material
91,dengankomitmennya baik bangun anies cipta landas masa depan lebih baik,with his commitment well build anies create a better future
92,takut banget da anies jadi presiden yang darah sumbar malu sama kengototan bela,i'm really afraid of da anies being a president whose blood is a source of shame and defensiveness
93,waktu uas sadar kita pilih sandal jepit bakiak sama buruk harus tetap pilih sekarang anies lebih punya ide gagas sandal jepit dititidaklkan,time uas aware we choose clog flip-flops just as bad must still choose now anies more have the idea of gagas flip-flops not excluded
94,lihat debat nilau anies pimpin selalu milik solusi hadap bagai rintang,see the debate of the value of anies pimpin always belongs to the solution facing like obstacles
95,sangat lihat debat capres 2024 anies baswedan capres bisa jawab tanya jawab muas,really see the 2024 presidential debate anies baswedan presidential candidate can answer questions and answers muas
96,gabisa cari salah anies sampe salah dukung cari mo milih presiden mo milih dukung,gabisa cari salah anies sampai salah dukung cari mo milih Presiden mo milih dukung
97,semua omong anies ngibul program program amburadul jungkook is coming olivia gaco daesang bangtan debut karina wonbin batter up 100m views,all talk anies ngibul program amburadul program jungkook is coming olivia gaco daesang bangtan debut karina wonbin batter up 100m views
98,debat capres anies baswedan menatidakpi nyata argumen sangat bobot tentu muas rakyat,debate presidential candidate anies baswedan menatidakpi real argument very heavy of course muas rakyat
99,klo ulama2 tahu jejak digital pak anies waktu wawancara dgn najwa shihabselama pak nyapres tdk maju nyapresternyata waktu debat pojok pak mosok sih orang ingkar janji gitu dukung tak iye,"klo ulama2 knows the digital footprint of Pak Anies during his interview with Najwa Shihab as long as Pak Nyapres does not advance his presidency, the time of Pak Mosok's corner debate is still for people to break promises, so support me"
100,hanya dapat anggota dpr dr psi jadi pegang yah wakakaka kamu tnton video fullnya youtube justru anies jegal atidakrannya makanya tonton youtube selesai,can only be a member of dpr from psi so hold it well wakakaka you tnton full video youtube actually anies jegal atidakrannya that's why watch youtube finished
101,anies jago debat jago ngeles kalau tanya jawabanya mutar2 spy ngeles kata yang kerja bajing bohong tidakk etika yang usung jadi gubernur mata najwa janji tidakk calon diri jk juga mecalonkan diri,anies jago debat jago ngeles if the question and answer is mutar2 spy ngeles the word that the work of a lying squirrel is not an ethical stretcher that becomes the governor of Mata Najwa promises not to be a candidate for himself jk also running for office
102,ahok produk masuk anies,ahok anies entry products
103,anies the legend of avathar sang kendali angin,anies the legend of avathar the wind control
104,iyaaasambil jilatin lubang pantatadmin socmed emang otak sengklek,iyaaasambil lickingin buttholeadmin socmed emang otak sengklek
105,kalo balik tanya pak bagaimana tatidakpan hadap anies jawab sorry ni ye asumsi awokwokwok,"if you ask back, sir, how do you take care of anies, answer sorry, this is the assumption of awokwokwok"
106,anies baswedan sebut tak tahan jadi oposisi perintah nyata lontar debat perdana capres ban partai gerindra,anies baswedan said it could not stand to be the opposition's real order to throw a debate on the inaugural presidential candidate for the Gerindra party ban
107,anies sindir tak tahan jadi oposisi nusron wahid rekonsiliasi nasional,anies sarcasm can't stand being opposition nusron wahid national reconciliation
108,resmi dukung uas hrs pakta integritas harus laksana anies baswedan,officially support uas hrs integrity pact should be like anies baswedan
109,hari debat capres no urut 1 anies baswedan unjung ustadz abdul somad riau adapun capres nomor urut 2 subianto nyanyi joget sama alumni akmil presiden ri 6 susilo bambang yudhoyono,presidential debate day no sequence 1 anies baswedan unjung ustadz abdul somad riau as for presidential candidate sequence number 2 subianto sings joget with alumni of real presidential akmil 6 susilo bambang yudhoyono
110,antara anies ama wowo emang sama sama bego apa gimana tolak lupa,between anies ama wowo is the same as bego what about refusing to forget
111,serang balik anies strike,strike back anies strike
112,abraham samad gugat pilih jd presiden kelleher olivia anies adidas daesang gaco surabaya pagi gempa ginting dana brighton moldova molly pilih baik first lady,abraham samad lawsuit choose jd president kelleher olivia anies adidas daesang gaco surabaya morning earthquake ginting dana brighton moldova molly choose either first lady
113,biasaaa buzzer mahh kalo gak nemu lemah anies akhir bikin2 hasut kalo etidak gak makan,biasaaa buzzer mahh if you don't find weak anies the end makes you angry if you don't eat
114,ibarat tanding sepak bola suporter kalah kecewangomel bahagia cari cari salah musuh yang alami kubu dukung team anies yng bahagia ini,is like a football match the supporters lose kecewangomel happy find one of the enemies who are natural strongholds to support this happy anies team
115,genuinely nanya misal aku pilih aniesmuhaimin tp aku ga pilih legislatif pks nasdem nya contoh pks ruu nya problematik gitu gimana,genuinely ask for example I choose aniesmuhaimin but I don't choose the legislature pks nasdem it's an example of pks ruu it's problematic like that
116,jelas tak level laaah mbak pak anies tuuuh capres bang fahri cuman juru bicara kl buat tweet tuuuh pak baru tuuuh level dgn pak aniessama2 capres cerdas dikit berhusnudzon napa siih mbak kata nya pilpres hrs gembiralupa yaa gemoy,clearly not level laaah mbak pak anies tuuuh capres bang fahri cuman kl spokesman for tweet tuuuh pak baru tuuuh level with pak aniessama2 capres intelligently little nudzon napa siih mbak kata nya pilpres hrs gembiralupa yaa gemoy
117,anies angkuh tega hukum padahal para dukung masalah berani tego gaco olivia jill biden daesang gempa adidas surabaya batter up 100m views pilih baik melania bangtan debut,anies arrogant tega law even though the supporters support the problem of dare tego gaco olivia jill biden daesang earthquake adidas surabaya batter up 100m views choose well melania bangtan debut
118,mmmmkayaknya tidak yakin nih sama kualitas capres dukung sehitidak butuh bawa2 nama orang delusi anda lebih baik anies wake up bro ikhlas hati baik indonesia seluruh biar baik yang pilih,"mmmm, I'm not sure if the quality of the presidential candidates is the same, support that you don't need to bring the names of your delusional people, it's better for you to wake up bro sincerely good for all of Indonesia, so it's good for those who choose"
119,anies sosok capres tidak milik adab orang lebih tua gaco olivia jill biden daesang gempa adidas surabaya batter up 100m views pilih baik melania bangtan debut,anies figure of the presidential candidate does not belong to the manners of older people gaco olivia jill biden daesang earthquake adidas surabaya batter up 100m views choose well melania bangtan debut
120,macam serang anies lalu anies nampol balik woiii,like attack anies then anies nampol back woiii
121,jadi anggota mrk yang bunuh kan 6 orang udah bunuh ga dapet jabat anies ga nolong klo mrk mau nyoblos dukung cm hak warga negara mau golput jg hak mrk lama mrk bukan genocide supporters or genocide actors gak kasih jabat mrk ga bsa buat ap2,be a member of the people who killed 6 people already killed ga dapet jabat anies ga nolong klo mrk want nyoblos support cm citizens' rights want golput jg hak mrk lama mrk not genocide supporters or genocide actors do not love jabat mrk ga bsa for ap2
122,anies selalu jebak asumsi pribadi ada dukung bukti fakta gaco olivia jill biden daesang gempa adidas surabaya batter up 100m views pilih baik melania bangtan debut,anies always trap personal assumptions there is evidence supporting facts gaco olivia jill biden daesang earthquake adidas surabaya batter up 100m views choose well melania bangtan debut
123,ga yang peduli org2 km50 puja riziq soal ga usah turun suara anies dgn org2 kaya riziq ikut,no one cares about the people2 km50 puja riziq about not having to lower the voice of anies with people rich in riziq participating
124,jgn suuzon bang orang paling ikhlas pak gak mungkin main cara2 kotor itu pak ikhlas kalo tidak pilih pak ikhlas klo anies pilih tapi kok aku percaya 99 sama statemt abang,don't suuzon bang the most sincere person sir it's impossible to play dirty ways sir sincere if you don't choose sir sincere klo anies choose but why do I believe 99 is the same statemt brother
125,sukasuka orang lah mau milih anies kaga lucu bgt dukung anies tukang guilttrip orang liat noh swing voters belum mau ngevote anies awokwok,sukasuka orang lah mau milih anies kaga lucu bgt dukung anies tukang guilttrip orang liat noh swing voter tidak mau ngevote anies awokwok
126,anies lihat munafik kait sikap lanjut ikn gaco olivia jill biden daesang gempa adidas surabaya batter up 100m views pilih baik melania bangtan debut,anies look hypocritical hook attitude further ikn gaco olivia jill biden daesang earthquake adidas surabaya batter up 100m views choose well melania bangtan debut
127,anies sama jadi seolah2 kerja sama padahal ngalir aja,anies is the same as if working together even though it just flows
128,moga anies menang amin aamiin amin gaes,let's hope anies wins amen aamiin amen gaes
129,agama islam ajar untuk bakti dua orang tua dinding adidas karina surabaya anies daesang gempa islam,islam teaches for the devotion of two parents adidas wall karina surabaya anies daesang earthquake islam
130,akhir anies kena batu ucap kait udara ber ktp gaco olivia jill biden daesang gempa adidas surabaya batter up 100m views pilih baik melania bangtan debut,end anies hit by stone say air hook with ktp gaco olivia jill biden daesang earthquake adidas surabaya batter up 100m views choose well melania bangtan debut
131,celana panjang chino pria murah kualitas dapat cashback 40 shopee video anies gaco daesang surabaya gempa ayo lihat video shopee video,men's chino trousers cheap quality can cashback 40 shopee video anies gaco daesang surabaya earthquake let's see video shopee video
132,jelas lebih pantes anies,clearly more pantes anies
133,serang yang kerja si memed hari buzzer ayah semua medsos debat kpu serang kalap sekali rl nyata ada hasil cenderung negatif anies pelan2 banyak bicara semua kalangantitik cerah,attack that work memed day buzzer dad all medsos debate kpu attack once real rl there are results tend to be negative anies slowly talk a lot all bright kalangantitik
134,panggung debat panggung ny sm anies klo kalah panggung langsung ulti nya pake surat lah lah lah nyari kunci pokok hahahahaaa badut politik,stage debate stage ny sm anies klo lose stage directly ultinya use letter lah lah nyari key staple hahahahaaa political clown
135,titidaklkan dukung anies baswedan lebih mampu ayom rakyat indonesia depan,titidaklkan support anies baswedan more able to ayom the people of Indonesia in the future
136,singgung soal janji tak maju ada pilpres anies komitmen dki,allude to the promise of no progress there is a presidential election anies dki commitment
137,anies memang gak percaya kata2 nya tukang obral janji,"anies did not believe his words, the salesman promised"
138,parah banget cantik udah gitu keren dukung pak anies sempurna,"it's so beautiful, it's so cool to support Mr. Anies perfectly"
139,haha janji apa batas hak orang untuk abdi negara emang jamin hak hidup anies baswedan sedih sekali kualitas pikir makin turun,"haha promise what is the limit of people's rights for servants of the country, guarantee the right to life anies baswedan sadly the quality of thought is getting down"
140,fans bole otak pakai nyata jadi hoax hoax kalian buat jd nyata nonton bnyk,fans bole brains use real so hoax hoax you make jd real watch bnyk
141,main aman gimana jauh pikir awam gw jelas bgt kok sikap anies ttg ikn apa lo doang ga faham,playing it safe how far do you think the public is clear bgt kok anies attitude about ikn what lo doang don't understand
142,ayoviralkan rekam jejak anies rasyid baswedan pimpin dki jkt,ayoviralkan track record anies rasyid baswedan pimpin dki jkt
143,nama gerinda jg naik pdhl lebih dr 10th lalu pasang dgn mega seolaholah gerindra lebih kecil dr anies njirrtt,the name of the grinder also rises pdhl more than the 10th and then pairs it with mega as if gerindra is smaller than anies njirrtt
144,betulcocok jadi bapak bangsa king maker tp gak cocok jadi presidenpresiden biar cocok2 ajaanies,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  03 HOURS 13 MINUTES 58 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
145,hatihatianies dekat abdsomad,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  03 HOURS 13 MINUTES 56 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
146,anies cerdas amp jujur fakta,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  03 HOURS 13 MINUTES 54 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
147,pada takut sama fpi dah organisasi udah bubar kok takut sama ideologi emang power besar apa pas anies jabat jadi gub dki ngadain christmas carol gitu mantan pentol fpi rusuh aduh,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  03 HOURS 13 MINUTES 53 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
